figure	file	render_script	render_command	source_tables	notes
Figure 1	figures/fig1_r15/NAR_Fig1_scTHREAD_editable_icons_v4_textfit_r15.svg	hand-edited SVG (no generator)	edit the SVG text nodes, then cairosvg svg2pdf/svg2png	-	THE SUBMISSION FIGURE. r15 = r14 with the 20260803 release numbers and without the dual-denominator banners. r14 and earlier are superseded.
Figure 2	figures/NAR_Fig2_v4.pdf	figures/scripts/render_nar_bio.py	sbatch figures/scripts/run_nar_fig2_v4.slurm	results/paper1/figdata/, tables/fig1_*.tsv, tables/p0_biological_unit_rerun/{ase,diu,apa}_observed_9999.tsv	Panel e is the 9,999-permutation inventory: the job passes --observed-suffix _9999 to both the renderer and qa_nar_fig2_v3.py. v3 retains the superseded 1,000-permutation result. refresh_fig1_snapshot.slurm renders Fig.1 only (--fig 1 --stem1 NAR_Fig1_v2), not this figure.
Figure 3	figures/NAR_Fig3_v8.pdf	figures/scripts/render_nar_fig3_v7.py (+v3/v4/v5 modules)	sbatch figures/scripts/run_nar_fig3_v8.slurm	tables/PTPRC_*, results/paper1/f2_grammar/figdata/	panels c,d are real portal screenshots captured by capture_ptprc_all_views.py
Figure 4	figures/NAR_Fig4.pdf	figures/scripts/fig4/render_nar_fig4.py	see the note column	tables/fig4_source/*.tsv	carried over from NM_briefComm and corrected here: panel i was mislabelled Monocyte-T while plotting Myeloid-Lymphoid
Graphical abstract	figures/scTHREAD_graphical_abstract_gpt2_hybrid_v9.pdf	figures/scripts/render_ga_gpt2_vector_v9.py	sbatch figures/scripts/run_ga_gpt2_vector_v9.slurm	figures/ga_gpt2_vector_v9/*.tsv (built by prepare_ga_v9_sources.py)	install from figures/_staging/ga_v9/formal1/ after the job passes QA
Graphical abstract (DELIVERED)	figures/NAR_GraphicalAbstract_v2_20260805.pdf	figures/scripts/build_ga_final.py	python3 figures/scripts/build_ga_final.py --base <collaborator Illustrator export> --out figures/NAR_GraphicalAbstract_v2_20260805.pdf	tables/ga_tissue_icon_map.tsv; tables/Table_S_three_axis_summary.tsv; tables/ase_allelic_imbalance_feature_20260802.tsv; figures/assets/tissue_icons/	THE DELIVERED GA. Vector overlays merged onto the collaborator export (NAR_GraphicalAbstract_20260804.pdf, sha 8f519d80) which is never edited in place. Two patches: 18-icon registry-backed tissue strip (add_tissue_icons_to_ga.py) + corrected gene-annotation card (patch_ga_ase_card.py). ASE row reports allelic imbalance 9,880/37,415, NOT the cell-type-differential 0/6,930 that Fig.2e still reports. Both overlays MUST be merged as one combined SVG - two merge_page calls corrupt the xref.
Supplementary Figure S1	figures/NAR_SF1.pdf	render_nar_sf_compact.py:render_sf1	sbatch slurm/refresh_sf_snapshot.slurm	scLong docs/sample_registry.tsv (via render_nar_bio registry_done/study_cells/catalog_headline), tables/fig1_study_atlas.tsv, results/paper1/figdata/ed7_coverage_matrix.tsv, results/paper1/figdata/cohort_cellcount.tsv, results/paper1/figdata/ed1_labeled_frac_bystudy.tsv	Composition of the release and evidence-layer coverage. a-d were old SF3a-d, e was old SF7a, f was old SF2b. refresh_sf_snapshot.slurm greps this PDF for 453 / 34 / 923,389 and fails on the stale 434 / 469 / 850,938 / 845,781 / 452,213 values. Panel d reads the live manifest, so the PacBio retention percentage moves between renders; it is a QC field, not a release denominator, and is not quoted in the text.
Supplementary Figure S2	figures/NAR_SF2.pdf	render_nar_sf_compact.py:render_sf2	sbatch slurm/refresh_sf_snapshot.slurm	results/paper1/figdata/ed2_full_classification.tsv, results/paper1/figdata/fig1b_classification_all.tsv, results/paper1/figdata/fig3b_within_celltype_depth.tsv, results/paper1/figdata/fig2_rarefaction_depthmatch.tsv, results/paper1/figdata/ed3_error_decomp.tsv	Splice-class composition and technical controls for novel structures. a,b were old SF5a,b; c,d were old SF4b,c; e was old SF6a. The cross-study canonicity panel (old SF4d) was dropped because it duplicates main Figure 2d.
Supplementary Figure S3	figures/NAR_SF3.pdf	render_nar_sf_compact.py:render_sf3	sbatch slurm/refresh_sf_snapshot.slurm	figures/website_walkthrough/public_20260805/*.png (6 shots)	Registration-free query path, old SF9 trimmed from 8 shots to 6. Tiles use a justified layout (common per-row height, width from each shot's own aspect ratio) so the cropped detail views stay legible. All six shots were captured on 2026-08-05 against the public site: four full pages by capture_portal_walkthrough.py and the two PTPRC crops by capture_ptprc_live.py, each recording its rendered text in a sidecar JSON that scripts/check_figure_numbers.py reads. The home and Download pages both lead with the frozen 453 / 34 / 923,389 release. The gene-card tile's junction counts are the rolling live catalog and are higher than the pinned API snapshot the text and Figure 3 cite; the legend says so.
Supplementary Figure S4	figures/NAR_SF4.pdf	render_nar_sf_compact.py:render_sf4	sbatch slurm/refresh_sf_snapshot.slurm	tables/sf10_v3/{embedding_composition,celltype_composition,malat1_iso_pair_by_celltype}.tsv, tables/sf10_v3/malat1_umap.parquet (built by scripts/build_sf10_v3_sources.py)	Cross-species worked example, published mouse cohort CRA044500. a-d were old SF1b,c,d,e; the scope and evidence-boundary text cards moved into the legend. Cited only from Supplementary Note 1: the Methods citation was removed so this figure is not first-mentioned ahead of SF1.
